температура,давление,плотность,вязкость,содержание серы,точка возгорания,обводненность,содержание соли,индекс качества
84.64,7.29,829.56,24.85,0.115,52.06,13.31,143.42,22.86
92.56,1.44,893.76,25.9,3.181,96.71,6.94,31.41,12.97
70.16,5.23,870.02,5.87,2.811,194.04,4.33,69.67,34.47
65.39,8.0,862.51,33.81,2.924,123.66,13.51,137.98,0.0
93.06,7.68,810.42,43.49,0.946,172.51,8.41,155.11,31.87
73.15,8.3,825.67,8.36,0.743,65.04,5.41,103.7,27.31
108.59,4.92,864.02,19.26,1.391,86.55,0.67,191.37,34.87
89.97,8.35,842.28,3.86,1.478,191.71,1.66,185.07,49.19
121.61,3.01,888.56,2.94,0.068,104.45,2.09,94.69,63.61
111.02,4.12,875.0,49.5,2.505,145.5,5.47,32.05,24.11
79.99,2.42,848.03,25.43,3.19,196.3,9.11,154.59,14.5
121.58,5.1,873.71,18.74,1.715,130.37,4.61,48.63,40.32
119.38,4.41,892.91,14.83,1.273,92.33,0.98,168.56,41.17
86.0,3.02,849.18,49.03,1.287,127.45,3.97,117.43,23.4
78.07,7.72,864.61,13.73,0.353,53.47,6.13,78.82,33.89
109.6,3.69,888.09,36.7,0.888,62.42,14.88,111.28,22.64
66.18,3.31,831.14,15.26,1.632,46.11,5.89,106.56,13.6
70.99,2.0,885.36,4.92,1.41,182.05,1.34,184.95,43.65
55.59,4.84,818.29,34.64,1.767,149.05,8.72,42.87,18.15
117.95,3.59,865.12,1.58,2.725,91.24,13.79,185.63,18.75
108.19,4.2,876.54,34.27,0.76,79.28,11.8,6.27,30.33
111.41,2.97,862.24,13.64,0.137,150.88,12.54,153.84,44.69
117.46,7.82,852.12,37.69,0.17,187.53,13.92,183.93,39.84
91.71,9.36,862.47,38.83,0.473,91.37,9.55,78.81,27.29
100.5,5.38,822.89,36.62,1.847,94.84,14.92,14.61,16.08
66.18,6.72,828.32,2.69,2.596,177.41,0.5,160.93,30.27
64.16,8.78,832.94,35.63,2.843,183.47,12.52,168.57,6.21
108.47,9.99,860.81,49.52,2.051,186.68,12.86,67.25,28.15
92.69,6.44,847.56,13.27,1.32,90.44,13.75,103.72,26.3
100.22,8.99,830.78,14.8,0.537,63.65,7.17,161.89,28.11
116.2,9.16,885.04,40.96,1.314,113.2,11.82,38.41,31.63
105.78,8.08,841.78,9.28,1.097,90.84,2.93,125.8,40.43
99.29,5.04,847.91,33.54,2.791,182.0,9.05,86.13,21.42
99.74,1.55,844.82,38.12,1.583,50.68,5.38,34.88,22.53
79.32,0.95,825.47,3.3,0.763,143.25,8.94,166.29,32.34
57.47,5.19,872.19,28.36,0.96,185.46,10.13,64.94,37.19
89.94,5.35,848.12,29.43,0.48,196.38,5.21,186.89,46.98
72.17,4.55,811.38,16.22,2.944,145.77,3.24,113.79,16.58
87.68,6.03,891.94,44.0,0.209,192.24,4.83,102.9,47.66
123.27,5.88,879.34,9.39,0.09,56.73,9.96,84.66,40.34
73.72,8.5,871.5,19.16,0.626,100.69,10.15,80.13,30.38
59.66,1.8,883.87,42.66,2.604,46.35,11.12,163.59,0.0
77.51,2.87,887.08,10.75,1.699,197.08,1.9,135.5,41.03
78.49,8.1,838.69,41.34,2.021,184.92,12.28,154.74,18.68
107.95,8.6,861.93,5.33,1.177,49.35,10.32,84.22,33.03
99.56,9.95,861.75,25.23,0.266,47.81,0.46,52.29,42.92
117.71,8.83,832.72,5.15,2.747,101.88,5.03,17.37,30.21
108.15,8.99,828.87,34.38,0.654,85.07,7.0,155.33,31.59
87.51,3.69,819.68,39.84,0.154,176.27,5.41,83.06,45.18
120.12,4.5,866.04,42.72,1.854,69.88,1.76,101.84,24.49
68.36,3.27,876.38,49.09,0.312,167.55,3.11,93.87,39.09
56.82,6.38,874.68,34.09,0.352,130.94,0.37,86.23,39.74
62.2,9.44,836.88,38.8,2.571,103.5,1.4,136.78,11.28
112.79,3.97,827.45,26.03,1.599,67.59,3.99,121.75,27.23
91.95,5.92,848.56,45.77,0.811,199.64,12.3,194.41,31.28
67.9,3.53,856.48,32.72,1.148,140.79,7.9,27.78,26.35
95.08,2.36,888.12,44.35,2.347,113.1,6.37,114.7,19.35
67.18,2.6,884.36,12.92,0.259,102.52,9.93,12.65,38.8
110.71,1.33,887.86,25.59,0.417,185.39,8.12,161.58,56.68
90.69,9.53,882.27,36.9,1.991,172.28,1.97,123.26,33.12
85.48,4.51,891.99,11.33,1.962,170.73,3.34,85.68,41.47
79.12,8.47,849.57,11.75,3.113,140.51,3.34,160.45,26.24
105.42,7.07,814.04,48.94,1.23,182.63,9.0,91.0,33.17
83.95,2.57,817.1,22.58,0.255,91.39,6.92,45.56,36.82
62.01,2.41,843.17,10.32,1.743,154.07,5.81,94.5,27.71
64.44,8.27,831.9,17.58,2.061,107.69,8.35,14.17,23.31
131.95,3.24,824.44,20.77,0.49,138.0,14.55,179.57,35.61
127.69,9.2,891.02,31.72,1.792,199.71,4.71,146.19,46.71
110.98,2.09,826.61,46.27,0.673,197.6,7.8,152.06,40.21
76.27,7.03,891.55,49.35,2.711,124.46,7.21,174.9,6.54
132.53,8.29,874.67,33.11,2.681,133.95,10.75,158.31,17.82
117.3,2.96,864.48,35.45,1.403,184.08,10.95,86.37,41.53
112.35,3.34,867.46,17.11,3.095,197.77,10.94,23.73,29.9
90.95,9.67,838.18,43.07,3.136,165.68,3.02,74.67,16.22
76.78,3.23,864.95,12.06,0.457,55.1,6.74,186.82,31.8
62.71,4.76,825.87,6.66,1.208,95.01,12.17,189.82,15.83
127.21,4.78,889.7,48.7,1.941,183.97,5.72,153.57,36.68
91.46,3.13,835.65,43.41,0.317,164.09,14.76,40.89,36.27
71.19,7.94,831.69,16.23,1.255,160.05,5.47,38.89,39.16
79.48,7.9,870.45,34.25,0.873,148.53,7.47,175.95,25.67
101.34,4.28,865.8,24.15,3.049,109.37,7.12,28.38,20.82
69.14,8.48,848.36,17.17,1.346,107.5,6.5,116.83,25.89
123.53,2.76,863.76,15.41,2.452,170.38,12.68,75.65,31.07
115.68,0.84,823.56,8.1,1.268,90.54,2.33,60.4,42.8
112.56,6.05,867.23,28.14,0.465,151.15,8.51,135.48,40.63
89.57,9.95,833.0,23.16,2.769,157.56,9.28,191.91,15.62
105.18,1.16,833.19,26.34,0.051,175.91,12.77,155.53,40.1
101.73,2.71,823.79,11.94,0.226,94.58,9.14,97.23,39.69
106.99,5.57,838.25,47.02,1.198,159.99,14.4,88.14,26.7
61.76,8.25,838.16,32.47,2.214,61.51,13.08,181.53,0.0
88.26,1.62,848.61,45.13,1.126,66.4,5.23,115.62,18.69
58.33,4.44,826.19,6.8,0.259,109.69,12.9,99.33,33.48
94.52,7.67,826.41,31.71,1.051,53.56,14.38,136.57,15.27
81.39,4.22,856.05,42.7,0.822,191.89,3.86,47.43,42.65
66.56,2.54,820.95,17.55,0.067,184.79,9.15,12.75,44.78
63.27,2.6,868.56,10.96,1.735,52.58,4.23,171.02,13.5
102.01,4.57,890.24,14.35,0.417,174.94,9.74,121.45,50.79
68.65,5.21,846.28,14.74,0.956,123.88,1.4,32.98,39.58
129.01,8.73,886.59,23.19,2.07,153.8,11.01,59.61,39.02
101.48,6.71,818.36,17.31,2.334,182.47,6.3,197.99,27.37
82.75,7.15,813.65,14.66,0.88,134.43,8.81,126.88,30.85
102.27,9.84,871.32,32.95,1.087,63.03,0.39,127.22,33.75
56.82,4.59,874.69,4.07,0.828,45.4,10.43,14.43,23.34
131.68,4.51,881.66,18.01,3.064,122.02,7.44,193.8,22.82
93.58,9.29,814.83,34.95,0.65,192.13,9.38,178.56,39.32
117.62,3.06,876.04,10.03,0.627,133.76,4.74,109.56,52.97
61.62,7.51,842.01,12.22,1.452,102.81,2.19,61.88,31.2
93.93,7.74,835.78,11.23,0.646,49.79,6.53,139.61,31.36
94.26,1.7,824.71,1.54,0.544,186.82,14.16,166.67,38.16
130.03,5.11,894.66,24.48,0.352,95.71,3.42,157.22,50.49
100.74,2.65,815.41,3.39,2.067,154.24,10.14,195.41,27.81
92.88,2.51,880.3,14.74,1.978,152.61,0.75,127.37,41.65
76.36,5.07,864.36,49.75,2.098,84.35,10.77,64.25,8.19
81.53,3.46,872.48,46.04,2.486,54.89,3.58,99.59,7.73
96.65,8.12,870.5,11.93,1.078,104.68,6.77,163.26,37.38
90.11,9.15,882.97,16.54,2.943,94.16,5.52,53.07,18.67
56.73,8.19,825.62,23.99,2.36,153.54,1.69,46.28,25.46
121.1,3.25,810.07,42.45,2.585,172.07,5.18,144.97,24.76
126.69,3.32,860.87,40.43,2.321,79.48,5.25,88.89,23.67
66.22,3.14,840.08,7.62,1.179,126.88,7.83,163.31,27.61
99.32,2.04,820.52,7.54,0.942,51.29,14.59,28.74,29.39
63.69,9.48,825.82,21.71,1.381,78.21,7.05,67.14,24.84
108.78,4.5,838.2,43.7,0.356,163.07,13.72,53.62,40.35
77.5,2.87,815.97,44.28,1.472,167.98,6.92,139.57,27.93
107.75,8.59,814.84,6.71,0.186,165.34,1.61,151.87,54.57
113.16,4.47,887.86,29.35,0.062,67.07,3.45,91.2,42.17
116.49,1.12,836.53,9.05,2.984,130.41,6.11,95.61,26.14
63.62,2.29,893.49,34.78,2.221,110.52,4.88,26.41,19.85
128.28,6.68,891.97,45.95,1.82,198.68,12.99,140.37,32.07
73.42,8.0,822.12,23.56,1.124,146.38,10.18,198.46,19.74
57.99,2.74,870.77,5.53,1.847,189.96,8.67,155.58,32.98
99.39,9.24,861.07,29.59,2.858,67.53,7.37,44.62,17.72
84.67,8.63,868.71,21.31,2.105,114.89,5.96,124.62,26.67
121.38,8.61,818.18,40.83,1.948,164.6,9.18,58.99,33.3
119.66,2.89,826.03,18.01,1.5,102.02,1.87,6.04,43.84
80.37,1.26,816.51,43.93,1.139,143.04,2.44,35.96,31.72
131.23,8.78,861.35,14.77,2.25,124.31,4.55,20.52,40.91
78.27,3.61,893.86,9.14,3.14,198.75,2.57,39.19,40.2
96.2,6.49,867.12,16.36,1.388,71.95,10.16,159.12,21.66
75.48,7.79,870.41,3.19,1.285,189.98,0.37,58.57,51.8
129.88,1.98,893.69,15.14,1.399,107.24,2.4,151.41,47.71
68.17,7.98,867.63,33.52,1.39,117.54,13.54,189.77,15.49
58.59,9.43,813.42,8.4,3.17,126.93,14.96,114.85,0.0
89.81,7.5,883.7,6.9,2.276,86.13,7.31,97.08,22.97
134.39,4.86,841.0,7.92,1.181,194.37,7.43,150.03,51.98
126.33,8.87,810.37,5.26,1.22,186.28,11.6,19.42,50.07
114.89,5.65,853.11,43.92,1.407,195.8,0.54,85.64,50.43
126.26,7.65,889.65,47.29,0.166,199.52,6.41,99.76,54.31
126.48,8.35,831.87,3.76,1.713,148.82,1.5,166.21,49.84
96.51,7.69,851.78,38.36,2.606,115.01,6.01,162.84,14.37
80.27,3.45,824.77,37.25,2.131,176.86,14.76,169.65,17.98
116.76,1.88,814.9,49.85,0.675,48.69,11.3,139.57,19.14
107.93,2.99,816.85,18.37,2.343,174.33,14.78,106.11,23.08
84.89,5.43,871.8,15.35,2.316,122.08,11.19,165.58,18.31
62.56,5.45,883.45,23.47,0.877,149.35,9.12,174.66,28.55
114.74,6.16,822.18,43.04,2.012,102.98,11.31,96.1,11.77
76.0,4.43,834.51,36.84,1.974,102.14,9.89,197.13,7.26
129.95,8.04,826.58,24.37,2.695,49.92,6.96,174.96,12.65
74.28,9.2,812.28,13.36,0.479,110.69,4.39,102.09,34.13
64.82,3.07,857.04,36.76,0.664,108.29,7.8,13.86,29.24
121.49,7.58,869.49,42.94,1.581,79.84,3.88,44.9,26.28
67.26,7.04,865.07,20.9,0.189,83.34,7.3,155.28,30.1
69.34,5.61,842.98,33.93,1.359,135.54,2.19,22.23,33.89
102.95,2.53,857.18,20.91,2.533,94.25,8.48,93.96,18.97
124.96,8.12,818.0,24.71,0.518,173.69,3.68,120.97,53.18
70.71,9.64,823.12,26.96,1.499,62.26,4.4,175.67,14.91
79.83,7.44,889.2,39.12,3.168,134.53,7.49,169.42,5.46
117.19,9.24,874.73,48.91,1.644,69.81,2.44,152.86,24.49
132.75,9.85,888.43,23.05,1.62,126.88,14.44,81.54,33.25
95.06,4.04,887.92,18.1,1.81,130.64,6.7,28.45,33.23
66.51,6.67,865.2,19.62,0.636,144.56,5.28,133.93,38.62
56.11,5.16,888.9,7.99,0.514,111.25,0.44,36.26,46.83
73.37,9.88,845.42,15.9,2.184,123.97,12.65,112.26,14.48
65.55,1.66,810.31,5.69,1.297,73.05,9.39,196.14,22.37
109.21,4.59,815.32,22.25,0.963,116.77,6.25,110.06,36.94
64.75,8.85,819.31,9.62,0.149,102.82,3.68,129.11,38.53
95.51,3.41,818.11,18.3,2.715,148.25,11.18,135.52,15.47
110.54,8.05,839.89,39.99,0.152,112.4,14.18,166.08,27.59
101.49,4.32,869.61,13.43,2.412,165.8,5.71,87.0,36.61
70.98,9.82,877.21,31.18,1.253,111.03,2.02,99.5,29.32
119.33,8.93,860.17,45.21,1.936,81.54,1.64,35.19,28.15
112.23,3.57,822.45,29.0,0.83,87.42,0.1,122.94,38.77
114.12,7.89,873.57,10.9,0.54,52.02,11.16,59.15,34.24
65.48,3.9,840.16,18.22,1.73,128.69,14.72,101.52,10.94
64.9,6.38,811.1,30.13,2.241,173.79,14.89,153.31,8.0
129.21,6.86,833.85,26.07,0.666,164.21,11.76,3.51,50.91
86.81,8.43,838.1,8.71,1.425,112.86,2.43,112.78,36.98
79.08,1.02,833.31,23.17,1.451,75.4,14.67,34.69,18.95
94.09,2.83,879.01,27.84,0.73,178.84,4.92,55.88,51.37
108.03,7.35,874.59,14.47,1.83,53.8,5.0,6.94,32.55
131.45,5.98,869.12,31.2,0.51,106.88,10.31,33.89,48.67
77.92,5.36,821.82,4.9,1.656,177.78,0.74,197.33,39.27
128.98,1.31,878.67,17.83,0.407,105.94,12.39,199.7,39.74
56.99,4.0,867.56,40.51,1.579,63.27,14.96,143.97,0.0
99.42,8.76,826.56,14.08,1.032,86.22,11.63,122.37,30.81
105.72,1.08,865.09,30.85,1.475,138.0,11.73,155.4,26.67
63.47,4.45,851.1,21.39,1.416,68.57,5.85,179.31,14.73
66.23,9.5,847.34,16.85,2.91,146.51,0.99,103.86,23.82
88.53,1.27,819.53,45.93,1.593,112.92,11.89,7.06,15.7
132.3,7.7,854.06,18.15,2.628,96.83,8.96,141.88,24.12
102.68,3.17,818.49,12.98,0.761,82.34,13.64,196.92,25.48
129.64,8.77,823.96,45.6,1.159,172.62,1.74,51.61,47.9
119.35,7.66,821.27,37.68,0.287,106.48,4.58,92.69,44.53
92.39,8.95,891.1,34.57,1.375,159.46,5.41,72.25,34.28
117.78,2.79,834.21,3.9,2.156,113.26,10.25,78.09,30.75
56.43,5.69,840.19,7.86,2.69,59.24,11.82,144.28,0.0
63.73,7.97,837.38,32.46,1.833,113.28,14.42,75.68,16.36
121.35,3.06,886.35,11.66,2.066,123.69,4.43,188.22,36.16
118.75,2.92,857.85,12.44,0.608,115.97,7.4,157.93,42.84
73.61,1.05,888.13,39.29,0.167,171.52,0.43,5.53,50.13
97.46,9.62,835.49,15.37,2.544,186.18,3.79,163.71,35.46
103.48,7.33,819.76,4.97,0.576,166.95,5.61,154.57,49.33
124.42,6.65,857.28,3.27,0.337,135.33,8.91,103.3,51.77
103.25,7.64,839.37,22.99,3.003,128.92,7.06,99.36,19.54
88.01,5.69,878.16,31.43,3.085,144.92,5.47,167.11,16.9
84.93,5.18,884.75,43.64,1.991,89.61,9.36,84.96,15.3
89.07,4.94,850.17,6.87,1.243,170.84,12.43,31.89,39.65
107.15,6.69,892.57,11.04,2.675,177.81,3.63,62.58,40.69
124.4,2.65,857.01,27.2,0.695,86.42,5.14,53.04,44.01
91.31,8.97,833.03,19.16,1.403,184.94,10.57,136.21,34.82
74.83,8.27,851.56,24.9,1.175,176.55,11.67,35.77,34.63
73.93,4.02,813.17,46.32,2.925,110.8,12.38,128.95,0.0
114.68,6.12,878.34,27.93,2.947,185.9,3.14,93.19,34.42
120.33,2.1,818.62,21.63,2.1,63.67,8.09,167.93,15.98
63.42,9.75,836.24,49.49,0.399,49.34,13.5,97.0,9.41
60.32,9.11,858.05,4.66,1.569,98.92,5.88,185.96,24.77
102.55,9.28,813.65,46.71,0.823,132.64,6.45,180.09,24.8
66.69,3.86,816.74,25.83,2.837,99.47,14.77,37.06,0.0
120.97,2.36,869.17,25.93,0.486,191.02,1.7,137.23,61.94
79.83,2.75,816.1,46.22,0.221,84.48,10.58,42.92,28.72
66.51,1.63,850.55,26.11,2.269,88.59,12.75,164.66,0.0
128.68,1.91,838.79,22.76,1.478,143.4,2.26,127.14,45.12
68.24,1.46,829.39,14.72,2.691,45.6,10.72,58.82,1.56
77.78,9.91,826.05,33.45,0.285,157.77,7.05,49.82,40.42
67.29,1.48,874.89,29.13,2.573,103.51,12.79,85.92,6.63
64.24,2.02,890.88,11.9,0.168,196.55,13.61,160.14,38.66
56.69,8.41,821.92,35.91,0.138,152.17,13.09,159.23,22.42
59.43,6.14,891.57,32.74,1.503,53.09,0.97,6.68,23.0
68.97,7.92,860.55,20.77,0.747,59.36,11.35,60.46,21.71
59.27,6.6,864.54,1.71,1.92,58.67,13.82,84.57,7.74
102.29,8.92,870.34,23.16,0.131,192.66,9.32,117.12,54.34
109.46,6.67,869.85,1.79,0.161,151.03,9.01,29.91,56.99
86.49,5.6,879.68,5.14,2.341,111.28,0.68,67.06,33.3
80.44,7.36,851.09,22.38,0.712,76.07,12.84,177.12,20.58
95.36,4.92,855.34,5.47,2.118,180.41,0.7,95.31,44.62
125.0,3.98,837.53,14.87,2.412,76.24,4.7,148.83,27.15
123.09,5.1,818.95,33.29,0.237,154.54,13.89,96.96,39.03
58.48,2.36,866.49,16.47,2.475,163.32,14.25,93.0,10.39
69.52,8.13,812.86,49.89,0.896,90.67,14.88,124.39,7.1
73.94,3.2,833.43,45.94,1.277,123.26,7.15,51.87,23.15
74.95,2.21,818.01,29.89,0.323,79.56,2.66,49.96,32.24
100.7,3.07,826.21,48.4,2.692,103.73,7.32,197.87,2.36
88.3,8.55,864.29,43.6,1.816,194.6,1.53,173.8,34.26
58.94,3.84,863.42,16.97,1.64,152.44,13.09,147.55,17.4
84.89,7.11,845.79,37.86,3.101,176.23,8.41,27.43,13.81
96.9,8.68,817.66,8.14,1.104,128.79,6.07,6.04,45.65
63.13,1.52,846.84,34.7,2.856,82.05,1.19,35.08,9.73
121.68,7.84,839.98,25.32,2.317,155.5,6.08,187.55,32.54
59.16,3.63,871.24,2.32,2.975,122.59,12.99,163.26,6.82
128.99,2.79,859.22,14.8,2.91,72.41,10.55,104.62,17.88
62.93,7.14,851.78,47.84,3.172,108.93,1.24,193.76,1.4
122.49,9.17,851.39,16.82,0.465,143.4,2.4,29.32,52.56
127.21,3.51,892.14,10.3,2.557,158.98,5.88,111.83,36.26
133.37,6.03,874.29,10.6,2.584,82.7,1.52,36.64,36.81
119.16,3.47,852.24,24.74,2.08,180.78,14.01,61.29,32.66
117.36,5.9,850.73,42.37,0.928,103.83,9.78,188.03,22.38
106.4,6.52,812.25,38.26,3.09,87.03,1.42,173.66,10.59
117.32,6.42,890.11,22.69,0.694,75.24,11.82,20.36,34.5
65.76,6.54,837.13,11.62,1.624,169.65,5.53,49.91,36.18
97.89,2.04,831.75,3.73,1.693,99.9,3.67,118.9,34.11
96.14,7.18,894.95,23.94,0.56,119.93,8.55,12.27,45.4
123.61,7.01,871.09,41.02,2.326,79.54,0.2,110.02,29.52
92.02,7.08,814.03,36.89,0.33,151.34,6.98,116.9,39.92
85.81,1.48,815.26,21.32,2.233,166.06,12.66,58.19,23.91
106.17,4.91,812.17,30.34,2.723,97.61,13.92,58.62,7.72
76.32,4.56,860.97,22.66,1.151,191.49,5.14,45.82,51.0
66.18,1.6,816.08,29.58,2.285,49.74,9.64,187.14,0.0
93.23,2.85,889.34,26.6,0.544,65.61,3.4,77.77,36.69
88.35,4.86,889.64,34.53,2.715,136.26,8.4,117.05,18.47
73.61,7.63,856.41,26.12,3.049,153.72,3.81,60.31,21.97
84.4,2.98,862.41,47.12,0.531,83.86,8.57,140.53,24.49
84.31,8.43,834.81,22.26,2.229,130.88,2.58,20.29,31.91
81.2,5.82,815.44,2.27,1.643,94.35,14.12,14.33,17.31
85.36,7.8,872.68,12.96,1.724,130.88,13.3,148.86,26.77
109.86,5.15,818.65,25.78,2.275,147.2,5.05,145.33,27.49
78.75,5.39,817.27,27.72,1.59,195.79,11.65,53.0,32.93
130.91,6.5,836.45,28.29,1.941,115.63,1.43,71.01,33.76
128.31,9.34,811.06,36.16,0.777,145.47,11.11,191.45,34.92
93.47,5.32,846.89,14.82,1.242,134.6,4.24,20.87,41.52
81.27,5.66,870.15,33.75,2.776,94.22,2.03,36.63,19.52
97.83,6.34,878.11,35.65,0.396,84.22,10.17,86.01,32.77
122.88,7.59,861.37,21.45,1.932,198.12,7.05,56.42,46.37
107.21,1.46,881.98,21.01,0.631,77.06,7.95,129.8,33.21
119.35,5.54,844.55,10.18,2.717,167.49,7.81,138.12,31.32
97.62,5.23,882.15,21.58,1.874,67.72,0.89,105.28,28.87
105.63,9.28,853.05,39.66,1.32,169.67,0.77,122.24,43.78
78.05,5.34,828.96,45.59,0.837,73.79,9.02,86.68,20.55
113.79,5.11,890.25,30.29,1.426,194.91,9.36,152.08,40.83
71.19,9.65,833.37,16.02,3.066,151.33,0.71,8.42,23.05
110.58,4.95,812.23,34.59,1.654,58.97,5.68,62.58,22.7
123.86,2.46,830.63,37.4,1.529,152.44,9.19,136.89,38.51
65.57,2.8,841.17,17.61,2.401,138.56,9.85,65.93,21.37
104.15,1.68,839.86,41.59,1.244,97.32,12.42,15.71,16.33
62.61,0.81,854.6,5.07,1.396,85.41,6.31,69.0,27.35
113.06,4.77,885.07,2.02,1.111,156.41,8.22,142.3,49.9
61.76,7.88,834.85,7.46,0.525,159.91,8.68,24.4,42.03
129.88,7.55,854.27,9.07,2.298,95.72,4.68,144.93,31.23
65.99,1.1,838.91,44.13,2.8,180.82,0.81,155.09,17.22
131.71,6.04,879.85,22.11,2.903,86.67,0.06,127.06,30.67
119.07,2.22,823.4,14.83,2.825,55.83,12.54,48.85,8.99
102.49,9.46,818.8,22.31,1.473,137.98,3.0,161.06,38.38
117.61,2.34,852.75,20.65,0.945,61.6,9.45,42.89,33.48
118.61,6.57,867.11,16.12,2.059,87.88,8.66,181.16,21.66
130.68,3.8,877.62,8.19,3.057,123.61,5.99,141.33,31.9
75.27,6.7,860.12,33.31,2.34,89.39,12.5,10.94,5.54
102.21,4.59,875.78,8.13,1.609,78.32,10.48,159.86,23.56
62.6,7.79,843.38,39.11,2.22,153.99,0.34,101.29,22.04
104.29,2.92,812.79,11.28,2.483,129.78,11.65,90.53,26.6
68.7,9.13,819.87,36.97,2.946,175.16,7.6,84.1,11.07
100.2,5.4,813.29,40.57,2.454,135.09,5.21,121.33,13.6
100.79,7.76,837.96,7.58,1.415,119.93,10.9,144.92,28.83
92.28,8.62,852.12,5.71,0.912,85.49,10.29,179.2,30.38
96.81,9.99,840.29,47.55,1.625,167.77,4.66,54.59,35.0
116.11,2.86,857.65,23.96,1.084,75.52,14.75,126.16,29.64
118.94,3.44,850.85,32.07,3.02,82.55,9.73,137.27,13.07
94.37,3.1,867.63,2.63,1.65,175.45,9.09,134.96,39.59
102.97,3.22,866.69,15.02,1.537,159.88,1.05,98.6,44.61
129.5,6.16,837.04,26.01,1.147,140.0,4.19,78.2,50.66
64.58,9.94,839.43,44.48,2.064,51.03,6.7,152.48,0.32
64.37,9.91,859.74,14.66,1.688,64.72,9.46,60.0,14.94
62.02,5.65,860.7,39.1,0.457,122.49,7.69,41.61,30.12
107.63,6.68,836.75,33.62,2.788,160.68,11.45,109.17,14.39
88.49,8.71,838.08,7.09,1.181,116.94,3.94,53.52,39.7
116.95,9.38,868.99,15.73,1.413,47.68,10.53,6.65,29.09
108.7,2.68,865.03,13.04,0.698,73.56,12.25,10.32,38.36
81.69,5.66,821.48,22.96,1.793,136.26,11.48,139.0,18.11
126.87,8.46,847.49,32.31,2.261,152.6,11.56,194.63,19.89
116.0,3.59,885.88,22.52,2.826,50.18,13.33,90.94,4.85
76.64,4.85,813.09,13.36,0.213,51.72,1.26,29.41,40.41
84.14,9.87,882.69,35.25,3.116,85.5,10.46,163.62,0.39
80.16,9.86,823.87,29.85,2.267,57.94,14.53,52.29,0.98
67.61,9.14,853.12,26.69,0.946,129.0,8.6,199.13,23.22
66.82,8.15,846.07,28.39,0.694,64.17,3.26,112.65,27.65
129.89,3.28,810.86,12.26,0.983,145.47,14.98,46.53,44.37
90.03,3.75,887.81,34.5,2.809,165.47,2.62,99.2,24.54
85.67,5.84,848.67,20.29,0.968,195.43,5.03,67.08,47.78
113.37,5.96,891.11,19.13,1.508,192.0,2.58,155.89,52.07
99.24,5.45,834.37,8.76,2.273,87.37,6.97,21.16,24.38
129.89,6.66,883.63,30.45,2.797,49.56,6.28,171.4,14.27
117.42,4.56,888.4,30.73,2.124,96.06,7.37,153.47,23.59
93.35,7.69,857.33,18.0,2.422,154.81,13.92,172.27,13.97
85.11,3.87,827.23,43.2,0.596,54.27,7.17,179.0,18.72
133.93,3.84,868.25,42.5,2.814,100.76,7.72,45.96,21.06
